               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.058669,            0.014211,            0.030574,             0.46001,             0.60526,              0.5381,             0.23073,            0.044187,           0.0090963,            0.020699,            0.009307,            0.009307,            0.009307
                  37,            0.051222,            0.014861,            0.034474,             0.51942,             0.87217,             0.71516,             0.43101,            0.032133,           0.0088636,             0.02085,           0.0092872,           0.0092872,           0.0092872
                  38,            0.060603,            0.013521,            0.031373,             0.46797,              0.4599,             0.32204,             0.13498,            0.049489,           0.0086656,            0.021404,           0.0092674,           0.0092674,           0.0092674
                  39,            0.074136,            0.013806,            0.032238,             0.59944,             0.86842,             0.83246,             0.44402,            0.036545,           0.0087567,            0.021275,           0.0092476,           0.0092476,           0.0092476
                  40,            0.064742,            0.013942,            0.030121,             0.59944,             0.86842,             0.83246,             0.44402,            0.036545,           0.0087567,            0.021275,           0.0092278,           0.0092278,           0.0092278
                  41,            0.059914,            0.013157,            0.031337,             0.40066,             0.97368,             0.66914,             0.34821,            0.033583,           0.0083914,            0.021333,            0.009208,            0.009208,            0.009208
                  42,              0.0605,            0.014311,             0.03139,             0.33929,             0.57895,             0.39678,             0.22577,            0.037017,           0.0084478,            0.021445,           0.0091882,           0.0091882,           0.0091882
                  43,            0.070372,            0.013448,            0.031499,             0.63411,             0.75043,             0.81509,             0.46013,            0.032384,           0.0071205,            0.021282,           0.0091684,           0.0091684,           0.0091684
                  44,            0.057611,            0.012954,            0.029868,             0.63411,             0.75043,             0.81509,             0.46013,            0.032384,           0.0071205,            0.021282,           0.0091486,           0.0091486,           0.0091486
                  45,            0.056669,            0.014386,            0.031078,             0.54484,             0.85135,             0.75981,             0.42571,            0.035851,           0.0069852,             0.02117,           0.0091288,           0.0091288,           0.0091288
                  46,            0.053729,            0.014037,            0.030437,             0.38754,                   1,             0.76061,             0.37682,            0.032778,           0.0073447,            0.020695,            0.009109,            0.009109,            0.009109
                  47,            0.060726,            0.012398,            0.030935,             0.30217,             0.97368,             0.71569,             0.30961,            0.032525,           0.0074694,            0.020636,           0.0090892,           0.0090892,           0.0090892
                  48,            0.058509,             0.01376,             0.03022,             0.30217,             0.97368,             0.71569,             0.30961,            0.032525,           0.0074694,            0.020636,           0.0090694,           0.0090694,           0.0090694
                  49,            0.047166,            0.012658,            0.029636,             0.33072,                   1,             0.60599,             0.33536,            0.024679,           0.0071651,            0.020459,           0.0090496,           0.0090496,           0.0090496
                  50,            0.047896,            0.013976,            0.030143,             0.18553,             0.97368,             0.38762,             0.24512,            0.037366,            0.007762,            0.020166,           0.0090298,           0.0090298,           0.0090298
                  51,            0.059249,            0.012296,            0.029434,             0.83778,             0.39684,             0.59942,             0.38091,            0.037423,           0.0074651,            0.020124,             0.00901,             0.00901,             0.00901
                  52,            0.057433,            0.013935,            0.030441,             0.83778,             0.39684,             0.59942,             0.38091,            0.037423,           0.0074651,            0.020124,           0.0089902,           0.0089902,           0.0089902
                  53,            0.049351,            0.014994,            0.028245,             0.44739,             0.91641,             0.72713,             0.45799,            0.028186,           0.0069504,            0.019831,           0.0089704,           0.0089704,           0.0089704
                  54,            0.051963,            0.014105,            0.030181,             0.32711,             0.76817,             0.59895,             0.19499,             0.03686,           0.0067604,            0.019743,           0.0089506,           0.0089506,           0.0089506
                  55,            0.053537,            0.011887,            0.028316,             0.36095,             0.71303,             0.61618,             0.25485,            0.038654,            0.006787,            0.019615,           0.0089308,           0.0089308,           0.0089308
                  56,            0.058761,            0.012127,            0.028448,             0.36095,             0.71303,             0.61618,             0.25485,            0.038654,            0.006787,            0.019615,            0.008911,            0.008911,            0.008911
                  57,            0.050912,            0.012485,            0.027733,             0.31044,             0.84211,             0.64543,             0.30894,            0.029475,           0.0068461,            0.019429,           0.0088912,           0.0088912,           0.0088912
                  58,            0.047271,            0.011592,            0.028464,              0.5335,             0.88153,             0.82749,             0.53712,            0.031574,           0.0062906,             0.01933,           0.0088714,           0.0088714,           0.0088714
                  59,             0.04444,            0.011287,            0.028944,             0.60689,             0.73684,             0.80054,               0.326,            0.032261,           0.0064158,             0.01898,           0.0088516,           0.0088516,           0.0088516
                  60,            0.056593,            0.011119,            0.031002,             0.60689,             0.73684,             0.80054,               0.326,            0.032261,           0.0064158,             0.01898,           0.0088318,           0.0088318,           0.0088318
                  61,            0.048129,            0.010826,            0.028276,             0.66046,              0.7307,             0.82496,             0.45858,            0.026407,           0.0065313,            0.018748,            0.008812,            0.008812,            0.008812
                  62,            0.046877,            0.012539,            0.027313,             0.74021,             0.71303,             0.85701,               0.542,            0.028051,           0.0063666,            0.018604,           0.0087922,           0.0087922,           0.0087922
                  63,             0.05473,            0.011599,            0.028038,              0.3741,             0.84697,             0.67304,             0.24761,            0.036092,           0.0063136,            0.018619,           0.0087724,           0.0087724,           0.0087724
                  64,            0.059943,           0.0098364,             0.02958,              0.3741,             0.84697,             0.67304,             0.24761,            0.036092,           0.0063136,            0.018619,           0.0087526,           0.0087526,           0.0087526
                  65,            0.056334,            0.010264,            0.027865,             0.35233,             0.86842,             0.65816,             0.28728,            0.030288,           0.0059907,            0.018518,           0.0087328,           0.0087328,           0.0087328
                  66,            0.051406,            0.011434,            0.027331,             0.72277,             0.84211,             0.82418,              0.4075,             0.03034,           0.0063585,            0.018701,            0.008713,            0.008713,            0.008713
                  67,            0.048343,             0.01083,            0.026367,             0.62877,             0.68922,             0.73844,             0.30442,            0.026542,           0.0064353,            0.018473,           0.0086932,           0.0086932,           0.0086932
                  68,            0.052245,            0.010426,            0.028815,             0.62877,             0.68922,             0.73844,             0.30442,            0.026542,           0.0064353,            0.018473,           0.0086734,           0.0086734,           0.0086734
                  69,            0.045801,            0.012286,            0.025575,             0.50823,             0.86842,             0.77299,             0.36461,            0.024557,           0.0062373,            0.018118,           0.0086536,           0.0086536,           0.0086536
                  70,            0.050021,            0.009874,            0.027708,             0.75055,             0.80677,             0.87442,             0.62642,            0.022758,           0.0060898,            0.017707,           0.0086338,           0.0086338,           0.0086338
